cpd,km,protein,rsq,vmax
S2017,0.57,BM3 Heme 1YQO,0.31,2.21
S2025,0.03,BM3 Heme 1YQO,0.24,0.13
S2030,0.5,BM3 Heme 1YQO,0.3,2.23
S2036,0.27,BM3 Heme 1YQO,0.99,0.49
S2041,0.03,BM3 Heme 1YQO,0.37,0.11
S2046,0.01,BM3 Heme 1YQO,0.42,0.05
S2053,0.02,BM3 Heme 1YQO,0.3,0.09
S2058,0.06,BM3 Heme 1YQO,0.24,0.3
S2062,0.01,BM3 Heme 1YQO,0.42,0.0
S2067,0.03,BM3 Heme 1YQO,0.91,0.0
S2077,0.04,BM3 Heme 1YQO,0.27,0.18
S2082,0.06,BM3 Heme 1YQO,0.76,0.15
S2087,0.05,BM3 Heme 1YQO,0.28,0.0
S2096,0.04,BM3 Heme 1YQO,0.37,0.0
S2101,0.02,BM3 Heme 1YQO,0.47,0.07
S2108,1.24,BM3 Heme 1YQO,0.39,4.86
S2109,0.23,BM3 Heme 1YQO,0.89,0.0
S2116,0.02,BM3 Heme 1YQO,0.34,0.0
S2121,0.86,BM3 Heme 1YQO,0.47,3.03
S2126,0.34,BM3 Heme 1YQO,0.17,2.0
S2131,0.23,BM3 Heme 1YQO,0.93,0.0
S2169,0.22,BM3 Heme 1YQO,0.92,0.0
S2217,0.04,BM3 Heme 1YQO,0.24,0.14
S2233,0.02,BM3 Heme 1YQO,0.19,0.0
S2328,0.24,BM3 Heme 1YQO,0.19,1.35
S2408,0.33,BM3 Heme 1YQO,0.48,1.16
S2412,0.75,BM3 Heme 1YQO,0.24,3.71
S2451,0.22,BM3 Heme 1YQO,0.94,0.0
S2455,1.66,BM3 Heme 1YQO,0.48,5.94
S2459,0.22,BM3 Heme 1YQO,0.92,0.21
S2467,0.02,BM3 Heme 1YQO,0.39,0.0
S2475,0.24,BM3 Heme 1YQO,0.91,0.56
S2111,0.23,BM3 Heme 1YQO,0.93,0.0
S2118,0.17,BM3 Heme 1YQO,0.19,0.85
S2123,0.25,BM3 Heme 1YQO,0.96,0.53
S2127,0.34,BM3 Heme 1YQO,0.16,2.06
S2152,0.26,BM3 Heme 1YQO,0.82,0.68
S2199,0.24,BM3 Heme 1YQO,0.96,0.51
S2221,0.25,BM3 Heme 1YQO,0.89,0.62
S2240,0.24,BM3 Heme 1YQO,0.99,0.38
S2376,0.02,BM3 Heme 1YQO,0.29,0.09
S2409,0.04,BM3 Heme 1YQO,0.31,0.15
S2413,0.27,BM3 Heme 1YQO,0.74,0.74
S2452,0.23,BM3 Heme 1YQO,0.97,0.51
S2456,0.25,BM3 Heme 1YQO,0.84,0.49
S2460,0.03,BM3 Heme 1YQO,0.36,0.1
S2468,0.13,BM3 Heme 1YQO,0.22,0.6
S2476,0.03,BM3 Heme 1YQO,0.5,0.09
S2113,0.06,BM3 Heme 1YQO,0.75,0.15
S2119,0.04,BM3 Heme 1YQO,0.6,0.0
S2124,0.05,BM3 Heme 1YQO,0.72,0.13
S2128,0.5,BM3 Heme 1YQO,0.22,2.62
S2154,0.02,BM3 Heme 1YQO,0.48,0.05
S2205,0.31,BM3 Heme 1YQO,0.99,0.0
S2225,0.04,BM3 Heme 1YQO,0.37,0.0
S2264,0.05,BM3 Heme 1YQO,0.84,0.12
S2381,0.02,BM3 Heme 1YQO,0.28,0.1
S2410,0.02,BM3 Heme 1YQO,0.61,0.0
S2443,0.02,BM3 Heme 1YQO,0.42,0.0
S2453,0.15,BM3 Heme 1YQO,0.48,0.51
S2457,0.22,BM3 Heme 1YQO,0.22,1.09
S2461,0.04,BM3 Heme 1YQO,0.96,0.0
S2470,0.04,BM3 Heme 1YQO,0.31,0.14
S2479,0.03,BM3 Heme 1YQO,0.22,0.16
S2114,0.05,BM3 Heme 1YQO,0.54,0.17
S2120,0.27,BM3 Heme 1YQO,0.81,0.0
S2125,0.03,BM3 Heme 1YQO,0.62,0.08
S2130,0.27,BM3 Heme 1YQO,0.81,0.0
S2159,0.1,BM3 Heme 1YQO,0.41,0.38
S2215,0.08,BM3 Heme 1YQO,0.51,0.0
S2229,0.04,BM3 Heme 1YQO,0.36,0.14
S2293,0.52,BM3 Heme 1YQO,0.55,1.68
S2393,0.03,BM3 Heme 1YQO,0.25,0.13
S2411,0.27,BM3 Heme 1YQO,0.98,0.09
S2446,0.27,BM3 Heme 1YQO,0.95,0.6
S2454,0.03,BM3 Heme 1YQO,0.26,0.14
S2458,0.04,BM3 Heme 1YQO,0.27,0.16
S2466,0.07,BM3 Heme 1YQO,0.48,0.0
S2471,0.04,BM3 Heme 1YQO,0.4,0.0
S2480,0.04,BM3 Heme 1YQO,0.73,0.11
S2481,0.23,BM3 Heme 1YQO,0.87,0.0
S2487,0.22,BM3 Heme 1YQO,0.91,0.0
S2493,0.25,BM3 Heme 1YQO,0.93,0.0
S2497,0.19,BM3 Heme 1YQO,0.83,0.0
S2503,0.23,BM3 Heme 1YQO,0.91,0.0
S2508,0.22,BM3 Heme 1YQO,0.91,0.0
S2515,0.23,BM3 Heme 1YQO,0.98,0.0
S2521,0.5,BM3 Heme 1YQO,0.29,2.14
S2527,0.03,BM3 Heme 1YQO,0.54,0.08
S2534,0.25,BM3 Heme 1YQO,0.17,1.44
S2538,0.09,BM3 Heme 1YQO,0.6,0.0
S2545,0.06,BM3 Heme 1YQO,0.57,0.18
S2551,0.67,BM3 Heme 1YQO,0.47,2.36
S2556,0.05,BM3 Heme 1YQO,0.4,0.0
S2561,0.05,BM3 Heme 1YQO,0.56,0.15
S2567,0.16,BM3 Heme 1YQO,0.24,0.77
S2484,0.03,BM3 Heme 1YQO,0.58,0.0
S2489,0.24,BM3 Heme 1YQO,0.99,0.51
S2494,0.09,BM3 Heme 1YQO,0.1,0.65
S2499,0.25,BM3 Heme 1YQO,0.98,0.52
S2504,0.25,BM3 Heme 1YQO,0.96,0.55
S2509,0.24,BM3 Heme 1YQO,1.0,0.48
S2516,1.98,BM3 Heme 1YQO,0.31,8.93
S2522,0.24,BM3 Heme 1YQO,0.98,0.5
S2528,0.21,BM3 Heme 1YQO,0.95,0.06
S2535,0.26,BM3 Heme 1YQO,0.9,0.58
S2541,0.24,BM3 Heme 1YQO,0.99,0.36
S2547,0.03,BM3 Heme 1YQO,0.31,0.0
S2552,0.55,BM3 Heme 1YQO,0.22,2.76
S2557,0.03,BM3 Heme 1YQO,0.26,0.0
S2564,0.23,BM3 Heme 1YQO,0.89,0.57
S2569,0.25,BM3 Heme 1YQO,0.95,0.58
S2485,0.05,BM3 Heme 1YQO,0.91,0.0
S2491,0.77,BM3 Heme 1YQO,0.25,3.73
S2495,0.04,BM3 Heme 1YQO,0.36,0.0
S2500,0.04,BM3 Heme 1YQO,0.89,0.0
S2505,0.02,BM3 Heme 1YQO,0.45,0.08
S2510,0.03,BM3 Heme 1YQO,0.73,0.09
S2517,0.03,BM3 Heme 1YQO,0.3,0.0
S2524,0.05,BM3 Heme 1YQO,0.28,0.23
S2529,0.03,BM3 Heme 1YQO,0.27,0.0
S2536,0.41,BM3 Heme 1YQO,0.21,2.12
S2542,1.14,BM3 Heme 1YQO,0.26,5.6
S2549,0.04,BM3 Heme 1YQO,0.42,0.15
S2553,0.04,BM3 Heme 1YQO,0.53,0.0
S2559,0.02,BM3 Heme 1YQO,0.28,0.09
S2565,0.03,BM3 Heme 1YQO,0.42,0.0
S2570,0.03,BM3 Heme 1YQO,0.52,0.0
S2486,0.05,BM3 Heme 1YQO,0.26,0.22
S2492,0.01,BM3 Heme 1YQO,0.53,0.03
S2496,0.06,BM3 Heme 1YQO,0.37,0.0
S2502,0.01,BM3 Heme 1YQO,0.3,0.0
S2506,0.05,BM3 Heme 1YQO,0.26,0.0
S2512,0.03,BM3 Heme 1YQO,0.68,0.0
S2519,0.59,BM3 Heme 1YQO,0.22,3.03
S2525,0.36,BM3 Heme 1YQO,0.16,2.12
S2533,0.08,BM3 Heme 1YQO,0.23,0.35
S2537,0.06,BM3 Heme 1YQO,0.64,0.0
S2543,0.03,BM3 Heme 1YQO,0.19,0.13
S2550,0.1,BM3 Heme 1YQO,0.16,0.56
S2555,1.7,BM3 Heme 1YQO,0.41,6.84
S2560,0.04,BM3 Heme 1YQO,0.54,0.0
S2566,0.02,BM3 Heme 1YQO,0.52,0.0
S2573,0.03,BM3 Heme 1YQO,0.56,0.0
S1005,0.06,BM3 Heme A82F/F87V,0.44,0.24
S1021,0.12,BM3 Heme A82F/F87V,0.12,0.79
S1028,0.11,BM3 Heme A82F/F87V,0.99,0.0
S1039,0.11,BM3 Heme A82F/F87V,0.21,0.58
S1046,0.11,BM3 Heme A82F/F87V,0.99,0.0
S1082,0.23,BM3 Heme A82F/F87V,0.18,1.07
S1144,0.24,BM3 Heme A82F/F87V,0.52,0.75
S1166,0.01,BM3 Heme A82F/F87V,0.23,0.06
S1188,0.02,BM3 Heme A82F/F87V,0.24,0.0
S1193,0.05,BM3 Heme A82F/F87V,0.97,0.1
S1199,0.1,BM3 Heme A82F/F87V,0.89,0.0
S1206,0.02,BM3 Heme A82F/F87V,0.22,0.0
S1212,0.09,BM3 Heme A82F/F87V,0.77,0.0
S1221,0.14,BM3 Heme A82F/F87V,0.92,0.33
S1225,0.01,BM3 Heme A82F/F87V,0.53,0.03
S1231,2.38,BM3 Heme A82F/F87V,0.45,8.93
S1011,0.04,BM3 Heme A82F/F87V,0.38,0.0
S1023,0.11,BM3 Heme A82F/F87V,0.1,0.79
S1029,0.01,BM3 Heme A82F/F87V,0.32,0.0
S1040,0.24,BM3 Heme A82F/F87V,0.23,1.09
S1047,0.01,BM3 Heme A82F/F87V,0.54,0.0
S1119,0.21,BM3 Heme A82F/F87V,0.23,1.01
S1148,0.12,BM3 Heme A82F/F87V,0.88,0.0
S1168,0.11,BM3 Heme A82F/F87V,0.92,0.0
S1189,0.17,BM3 Heme A82F/F87V,0.3,0.66
S1196,0.03,BM3 Heme A82F/F87V,0.27,0.13
S1200,0.01,BM3 Heme A82F/F87V,0.3,0.0
S1208,0.51,BM3 Heme A82F/F87V,0.41,1.94
S1213,0.09,BM3 Heme A82F/F87V,0.8,0.23
S1222,0.13,BM3 Heme A82F/F87V,0.74,0.22
S1227,0.71,BM3 Heme A82F/F87V,0.34,2.88
S1233,0.03,BM3 Heme A82F/F87V,0.74,0.0
S1013,0.02,BM3 Heme A82F/F87V,0.27,0.08
S1025,0.01,BM3 Heme A82F/F87V,0.61,0.04
S1033,0.01,BM3 Heme A82F/F87V,0.35,0.05
S1042,3.62,BM3 Heme A82F/F87V,0.47,13.49
S1064,0.08,BM3 Heme A82F/F87V,0.18,0.45
S1120,0.11,BM3 Heme A82F/F87V,0.15,0.62
S1150,0.17,BM3 Heme A82F/F87V,0.63,0.52
S1178,0.3,BM3 Heme A82F/F87V,0.43,1.12
S1190,0.03,BM3 Heme A82F/F87V,0.33,0.12
S1197,0.14,BM3 Heme A82F/F87V,0.97,0.0
S1202,0.04,BM3 Heme A82F/F87V,0.22,0.17
S1209,0.12,BM3 Heme A82F/F87V,0.98,0.16
S1214,0.04,BM3 Heme A82F/F87V,0.47,0.11
S1223,0.36,BM3 Heme A82F/F87V,0.27,1.61
S1228,0.32,BM3 Heme A82F/F87V,0.26,1.46
S1235,0.01,BM3 Heme A82F/F87V,0.14,0.06
S1014,0.08,BM3 Heme A82F/F87V,0.13,0.49
S1026,0.05,BM3 Heme A82F/F87V,0.52,0.16
S1035,0.04,BM3 Heme A82F/F87V,0.17,0.21
S1044,0.07,BM3 Heme A82F/F87V,0.18,0.37
S1068,0.14,BM3 Heme A82F/F87V,0.69,0.0
S1137,0.01,BM3 Heme A82F/F87V,0.29,0.04
S1156,0.12,BM3 Heme A82F/F87V,0.92,0.0
S1185,0.35,BM3 Heme A82F/F87V,0.28,1.59
S1191,0.19,BM3 Heme A82F/F87V,0.14,1.21
S1198,0.95,BM3 Heme A82F/F87V,0.43,3.44
S1204,0.14,BM3 Heme A82F/F87V,0.91,0.32
S1210,0.03,BM3 Heme A82F/F87V,0.37,0.11
S1218,0.12,BM3 Heme A82F/F87V,0.73,0.32
S1224,0.03,BM3 Heme A82F/F87V,0.23,0.0
S1229,0.14,BM3 Heme A82F/F87V,0.83,0.0
S1237,0.01,BM3 Heme A82F/F87V,0.22,0.06
S2574,0.03,BM3 Heme A82F/F87V,0.47,0.09
S2581,0.04,BM3 Heme A82F/F87V,0.92,0.1
S2586,0.02,BM3 Heme A82F/F87V,0.27,0.07
S2594,0.01,BM3 Heme A82F/F87V,0.6,0.03
S2602,0.14,BM3 Heme A82F/F87V,0.81,0.38
S2576,0.02,BM3 Heme A82F/F87V,0.34,0.06
S2583,0.05,BM3 Heme A82F/F87V,0.55,0.0
S2589,0.02,BM3 Heme A82F/F87V,0.76,0.06
S2596,0.2,BM3 Heme A82F/F87V,0.15,1.16
S2603,0.11,BM3 Heme A82F/F87V,0.94,0.0
S2577,0.02,BM3 Heme A82F/F87V,0.56,0.0
S2584,0.43,BM3 Heme A82F/F87V,0.27,2.05
S2590,0.01,BM3 Heme A82F/F87V,0.23,0.04
S2599,0.12,BM3 Heme A82F/F87V,0.18,0.64
S2579,4.89,BM3 Heme A82F/F87V,0.62,13.2
S2585,0.03,BM3 Heme A82F/F87V,0.36,0.0
S2593,0.22,BM3 Heme A82F/F87V,0.18,1.15
S2601,0.02,BM3 Heme A82F/F87V,0.23,0.0
S3149,0.11,BM3 Heme A82F/F87V,0.16,0.61
S3155,0.16,BM3 Heme A82F/F87V,0.97,0.35
S3163,0.01,BM3 Heme A82F/F87V,0.49,0.0
S3173,0.11,BM3 Heme A82F/F87V,0.96,0.0
S3179,0.02,BM3 Heme A82F/F87V,0.24,0.11
S3186,0.1,BM3 Heme A82F/F87V,0.97,0.0
S3196,0.01,BM3 Heme A82F/F87V,0.47,0.05
S3202,0.04,BM3 Heme A82F/F87V,0.17,0.21
S3212,0.02,BM3 Heme A82F/F87V,0.48,0.08
S4007,0.02,BM3 Heme A82F/F87V,0.42,0.08
S4012,0.02,BM3 Heme A82F/F87V,0.27,0.0
S4017,0.02,BM3 Heme A82F/F87V,0.23,0.07
S4022,0.02,BM3 Heme A82F/F87V,0.3,0.0
S4026,0.12,BM3 Heme A82F/F87V,0.73,0.0
S4035,0.11,BM3 Heme A82F/F87V,0.91,0.0
S4040,0.13,BM3 Heme A82F/F87V,0.96,0.0
S3150,0.02,BM3 Heme A82F/F87V,0.36,0.06
S3160,0.14,BM3 Heme A82F/F87V,0.26,0.6
S3167,0.77,BM3 Heme A82F/F87V,0.32,3.36
S3175,0.11,BM3 Heme A82F/F87V,0.97,0.12
S3181,0.01,BM3 Heme A82F/F87V,0.47,0.02
S3188,0.01,BM3 Heme A82F/F87V,0.33,0.05
S3199,0.01,BM3 Heme A82F/F87V,0.39,0.05
S3204,0.01,BM3 Heme A82F/F87V,0.31,0.04
S4000,0.24,BM3 Heme A82F/F87V,0.15,1.41
S4009,0.05,BM3 Heme A82F/F87V,0.38,0.17
S4014,0.02,BM3 Heme A82F/F87V,0.5,0.07
S4019,0.46,BM3 Heme A82F/F87V,0.23,2.31
S4023,0.02,BM3 Heme A82F/F87V,0.62,0.05
S4027,0.11,BM3 Heme A82F/F87V,0.77,0.3
S4037,0.01,BM3 Heme A82F/F87V,0.58,0.0
S4041,2.36,BM3 Heme A82F/F87V,0.45,8.78
S3151,0.12,BM3 Heme A82F/F87V,0.13,0.69
S3161,0.29,BM3 Heme A82F/F87V,0.23,1.39
S3170,0.01,BM3 Heme A82F/F87V,0.41,0.0
S3176,0.03,BM3 Heme A82F/F87V,0.72,0.0
S3183,0.01,BM3 Heme A82F/F87V,0.63,0.0
S3189,0.1,BM3 Heme A82F/F87V,0.97,0.0
S3200,0.03,BM3 Heme A82F/F87V,0.77,0.0
S3208,0.12,BM3 Heme A82F/F87V,0.94,0.08
S4003,0.19,BM3 Heme A82F/F87V,0.21,0.9
S4010,0.03,BM3 Heme A82F/F87V,0.08,0.21
S4015,0.02,BM3 Heme A82F/F87V,0.43,0.0
S4020,0.04,BM3 Heme A82F/F87V,0.2,0.18
S4024,0.02,BM3 Heme A82F/F87V,0.23,0.09
S4031,0.1,BM3 Heme A82F/F87V,0.55,0.0
S4038,0.11,BM3 Heme A82F/F87V,0.88,0.0
S4042,0.13,BM3 Heme A82F/F87V,0.98,0.02
S3154,0.21,BM3 Heme A82F/F87V,0.17,1.15
S3162,0.02,BM3 Heme A82F/F87V,0.82,0.05
S3172,0.13,BM3 Heme A82F/F87V,0.98,0.22
S3178,0.03,BM3 Heme A82F/F87V,0.47,0.09
S3185,0.09,BM3 Heme A82F/F87V,0.24,0.38
S3195,0.01,BM3 Heme A82F/F87V,0.25,0.0
S3201,0.11,BM3 Heme A82F/F87V,0.12,0.76
S3209,0.02,BM3 Heme A82F/F87V,0.16,0.0
S4004,0.02,BM3 Heme A82F/F87V,0.69,0.0
S4011,0.09,BM3 Heme A82F/F87V,0.56,0.0
S4016,0.01,BM3 Heme A82F/F87V,0.44,0.0
S4021,0.86,BM3 Heme A82F/F87V,0.33,3.71
S4025,0.01,BM3 Heme A82F/F87V,0.41,0.05
S4034,0.11,BM3 Heme A82F/F87V,0.75,0.3
S4039,0.02,BM3 Heme A82F/F87V,0.43,0.0
S4043,0.01,BM3 Heme A82F/F87V,0.25,0.0
S4044,0.08,BM3 Heme A82F/F87V,0.12,0.46
S4048,0.03,BM3 Heme A82F/F87V,0.5,0.08
S4053,0.02,BM3 Heme A82F/F87V,0.13,0.13
S4058,0.11,BM3 Heme A82F/F87V,0.98,0.0
S4063,0.17,BM3 Heme A82F/F87V,0.81,0.44
S4070,0.02,BM3 Heme A82F/F87V,0.27,0.09
S4075,0.02,BM3 Heme A82F/F87V,0.45,0.06
S4079,0.11,BM3 Heme A82F/F87V,0.89,0.27
S4084,0.35,BM3 Heme A82F/F87V,0.38,1.37
S4089,0.12,BM3 Heme A82F/F87V,0.2,0.6
S4096,0.1,BM3 Heme A82F/F87V,0.79,0.0
S4101,0.12,BM3 Heme A82F/F87V,0.16,0.6
S4106,0.09,BM3 Heme A82F/F87V,0.16,0.49
S4116,0.14,BM3 Heme A82F/F87V,0.74,0.39
S4132,0.03,BM3 Heme A82F/F87V,0.92,0.06
S4144,0.02,BM3 Heme A82F/F87V,0.32,0.0
S4045,0.01,BM3 Heme A82F/F87V,0.63,0.0
S4049,0.06,BM3 Heme A82F/F87V,0.49,0.0
S4054,0.03,BM3 Heme A82F/F87V,0.11,0.2
S4059,0.12,BM3 Heme A82F/F87V,0.95,0.27
S4064,0.01,BM3 Heme A82F/F87V,0.81,0.0
S4072,0.11,BM3 Heme A82F/F87V,0.98,0.0
S4076,0.68,BM3 Heme A82F/F87V,0.31,2.57
S4080,0.09,BM3 Heme A82F/F87V,0.18,0.42
S4085,0.01,BM3 Heme A82F/F87V,0.58,0.03
S4090,0.03,BM3 Heme A82F/F87V,0.25,0.14
S4097,0.33,BM3 Heme A82F/F87V,0.21,1.71
S4102,0.11,BM3 Heme A82F/F87V,0.6,0.35
S4107,0.07,BM3 Heme A82F/F87V,0.48,0.0
S4120,0.03,BM3 Heme A82F/F87V,0.36,0.09
S4135,0.02,BM3 Heme A82F/F87V,0.37,0.0
S4146,0.02,BM3 Heme A82F/F87V,0.46,0.0
S4046,0.19,BM3 Heme A82F/F87V,0.13,1.23
S4050,0.02,BM3 Heme A82F/F87V,0.23,0.09
S4056,0.01,BM3 Heme A82F/F87V,0.64,0.02
S4060,0.02,BM3 Heme A82F/F87V,0.7,0.0
S4065,0.02,BM3 Heme A82F/F87V,0.44,0.07
S4073,0.01,BM3 Heme A82F/F87V,0.4,0.0
S4077,0.01,BM3 Heme A82F/F87V,0.66,0.0
S4081,0.1,BM3 Heme A82F/F87V,0.96,0.23
S4086,0.07,BM3 Heme A82F/F87V,0.14,0.4
S4092,0.01,BM3 Heme A82F/F87V,0.24,0.0
S4099,0.13,BM3 Heme A82F/F87V,0.79,0.0
S4104,0.21,BM3 Heme A82F/F87V,0.28,0.95
S4111,0.13,BM3 Heme A82F/F87V,0.81,0.0
S4122,0.16,BM3 Heme A82F/F87V,0.25,0.61
S4136,1.18,BM3 Heme A82F/F87V,0.38,4.8
S4147,0.81,BM3 Heme A82F/F87V,0.34,3.35
S4047,0.05,BM3 Heme A82F/F87V,0.08,0.35
S4051,0.03,BM3 Heme A82F/F87V,0.53,0.0
S4057,0.02,BM3 Heme A82F/F87V,0.39,0.0
S4062,0.03,BM3 Heme A82F/F87V,0.46,0.0
S4068,0.02,BM3 Heme A82F/F87V,0.31,0.06
S4074,0.01,BM3 Heme A82F/F87V,0.34,0.0
S4078,0.01,BM3 Heme A82F/F87V,0.76,0.0
S4082,0.01,BM3 Heme A82F/F87V,0.38,0.0
S4088,0.02,BM3 Heme A82F/F87V,0.35,0.0
S4095,0.1,BM3 Heme A82F/F87V,0.61,0.3
S4100,3.38,BM3 Heme A82F/F87V,0.56,10.74
S4105,0.06,BM3 Heme A82F/F87V,0.22,0.28
S4114,0.02,BM3 Heme A82F/F87V,0.23,0.0
S4128,0.4,BM3 Heme A82F/F87V,0.29,1.61
S4138,0.02,BM3 Heme A82F/F87V,0.24,0.0
S4148,0.06,BM3 Heme A82F/F87V,0.4,0.0
S4149,0.03,BM3 Heme A82F/F87V,0.38,0.11
S4159,0.13,BM3 Heme A82F/F87V,0.88,0.0
S4164,0.01,BM3 Heme A82F/F87V,0.43,0.04
S4169,0.01,BM3 Heme A82F/F87V,0.54,0.05
S4173,0.1,BM3 Heme A82F/F87V,0.94,0.0
S4178,0.29,BM3 Heme A82F/F87V,0.38,0.98
S4184,0.01,BM3 Heme A82F/F87V,0.44,0.04
S4188,0.01,BM3 Heme A82F/F87V,0.44,0.03
S4192,0.06,BM3 Heme A82F/F87V,0.18,0.31
S4197,0.04,BM3 Heme A82F/F87V,0.44,0.13
S4201,0.08,BM3 Heme A82F/F87V,0.8,0.0
S4206,0.29,BM3 Heme A82F/F87V,0.17,1.66
S4210,0.02,BM3 Heme A82F/F87V,0.32,0.06
S4216,0.46,BM3 Heme A82F/F87V,0.33,1.85
S4221,0.22,BM3 Heme A82F/F87V,0.18,1.18
S4227,0.09,BM3 Heme A82F/F87V,0.25,0.42
S4151,0.02,BM3 Heme A82F/F87V,0.17,0.0
S4160,0.04,BM3 Heme A82F/F87V,0.58,0.0
S4165,0.03,BM3 Heme A82F/F87V,0.52,0.08
S4170,0.09,BM3 Heme A82F/F87V,0.11,0.61
S4175,0.11,BM3 Heme A82F/F87V,0.99,0.0
S4179,0.01,BM3 Heme A82F/F87V,0.57,0.03
S4185,0.24,BM3 Heme A82F/F87V,0.2,1.2
S4189,0.01,BM3 Heme A82F/F87V,0.73,0.03
S4194,0.08,BM3 Heme A82F/F87V,0.85,0.2
S4198,0.04,BM3 Heme A82F/F87V,0.41,0.0
S4203,0.1,BM3 Heme A82F/F87V,0.63,0.28
S4207,0.11,BM3 Heme A82F/F87V,0.44,0.4
S4211,0.02,BM3 Heme A82F/F87V,0.31,0.07
S4217,0.7,BM3 Heme A82F/F87V,0.32,2.98
S4222,0.01,BM3 Heme A82F/F87V,0.39,0.03
S4228,0.02,BM3 Heme A82F/F87V,0.24,0.07
S4152,0.01,BM3 Heme A82F/F87V,0.45,0.02
S4161,0.15,BM3 Heme A82F/F87V,0.73,0.41
S4166,0.06,BM3 Heme A82F/F87V,0.23,0.27
S4171,0.01,BM3 Heme A82F/F87V,0.3,0.0
S4176,0.02,BM3 Heme A82F/F87V,0.25,0.08
S4181,0.04,BM3 Heme A82F/F87V,0.39,0.12
S4186,0.01,BM3 Heme A82F/F87V,0.61,0.0
S4190,0.03,BM3 Heme A82F/F87V,0.31,0.12
S4195,0.03,BM3 Heme A82F/F87V,0.29,0.12
S4199,0.01,BM3 Heme A82F/F87V,0.56,0.0
S4204,0.02,BM3 Heme A82F/F87V,0.21,0.1
S4208,0.05,BM3 Heme A82F/F87V,0.3,0.18
S4213,0.14,BM3 Heme A82F/F87V,0.71,0.0
S4219,0.04,BM3 Heme A82F/F87V,0.23,0.19
S4223,0.09,BM3 Heme A82F/F87V,0.2,0.46
S4229,0.02,BM3 Heme A82F/F87V,0.43,0.0
S4155,0.02,BM3 Heme A82F/F87V,0.25,0.0
S4162,0.02,BM3 Heme A82F/F87V,0.39,0.0
S4167,0.02,BM3 Heme A82F/F87V,0.47,0.0
S4172,0.02,BM3 Heme A82F/F87V,0.37,0.08
S4177,0.11,BM3 Heme A82F/F87V,0.72,0.3
S4182,0.61,BM3 Heme A82F/F87V,0.35,1.96
S4187,0.12,BM3 Heme A82F/F87V,0.85,0.0
S4191,0.03,BM3 Heme A82F/F87V,0.34,0.0
S4196,0.13,BM3 Heme A82F/F87V,0.95,0.0
S4200,0.11,BM3 Heme A82F/F87V,0.96,0.0
S4205,0.12,BM3 Heme A82F/F87V,0.68,0.36
S4209,0.02,BM3 Heme A82F/F87V,0.34,0.0
S4214,0.11,BM3 Heme A82F/F87V,0.48,0.39
S4220,0.02,BM3 Heme A82F/F87V,0.68,0.0
S4225,0.03,BM3 Heme A82F/F87V,0.41,0.0
S4230,0.12,BM3 Heme A82F/F87V,0.46,0.39
S4231,0.03,BM3 Heme A82F/F87V,0.71,0.0
S4237,0.02,BM3 Heme A82F/F87V,0.31,0.0
S4242,0.44,BM3 Heme A82F/F87V,0.21,2.17
S4269,0.01,BM3 Heme A82F/F87V,0.54,0.0
S4295,0.01,BM3 Heme A82F/F87V,0.58,0.0
S4308,0.01,BM3 Heme A82F/F87V,0.32,0.04
S4321,0.42,BM3 Heme A82F/F87V,0.3,1.86
S4330,0.02,BM3 Heme A82F/F87V,0.75,0.04
S4336,0.08,BM3 Heme A82F/F87V,0.75,0.0
S4342,0.04,BM3 Heme A82F/F87V,0.46,0.12
S4349,0.07,BM3 Heme A82F/F87V,0.47,0.18
S4358,0.05,BM3 Heme A82F/F87V,0.96,0.12
S4363,0.09,BM3 Heme A82F/F87V,0.58,0.0
S4370,0.04,BM3 Heme A82F/F87V,0.47,0.12
S4374,0.04,BM3 Heme A82F/F87V,0.31,0.18
S4381,0.03,BM3 Heme A82F/F87V,0.46,0.0
S4232,0.03,BM3 Heme A82F/F87V,0.35,0.1
S4238,0.06,BM3 Heme A82F/F87V,0.4,0.0
S4243,0.05,BM3 Heme A82F/F87V,0.16,0.26
S4274,0.45,BM3 Heme A82F/F87V,0.26,2.07
S4297,0.01,BM3 Heme A82F/F87V,0.3,0.0
S4311,0.02,BM3 Heme A82F/F87V,0.38,0.07
S4322,0.25,BM3 Heme A82F/F87V,0.18,1.31
S4333,0.1,BM3 Heme A82F/F87V,0.95,0.24
S4339,0.09,BM3 Heme A82F/F87V,0.63,0.28
S4343,0.03,BM3 Heme A82F/F87V,0.33,0.0
S4351,0.07,BM3 Heme A82F/F87V,0.85,0.0
S4359,0.1,BM3 Heme A82F/F87V,0.71,0.0
S4364,0.08,BM3 Heme A82F/F87V,0.7,0.23
S4371,0.12,BM3 Heme A82F/F87V,0.14,0.72
S4375,0.1,BM3 Heme A82F/F87V,0.96,0.0
S4382,0.02,BM3 Heme A82F/F87V,0.36,0.09
S4233,0.06,BM3 Heme A82F/F87V,0.24,0.29
S4239,0.95,BM3 Heme A82F/F87V,0.4,3.75
S4244,0.01,BM3 Heme A82F/F87V,0.47,0.0
S4282,0.02,BM3 Heme A82F/F87V,0.38,0.0
S4303,0.03,BM3 Heme A82F/F87V,0.38,0.0
S4312,0.02,BM3 Heme A82F/F87V,0.38,0.0
S4326,0.02,BM3 Heme A82F/F87V,0.34,0.0
S4334,0.02,BM3 Heme A82F/F87V,0.39,0.0
S4340,0.03,BM3 Heme A82F/F87V,0.44,0.0
S4345,0.02,BM3 Heme A82F/F87V,0.3,0.06
