cpd,km,protein,rsq,vmax
S1613,0.06,BM3 Heme A82F,0.44,0.22
S1619,0.04,BM3 Heme A82F,0.83,0.09
S1625,0.04,BM3 Heme A82F,0.14,0.17
S1629,0.05,BM3 Heme A82F,0.52,0.0
S1636,0.08,BM3 Heme A82F,0.8,0.21
S1641,0.04,BM3 Heme A82F,0.46,0.11
S1646,0.36,BM3 Heme A82F,0.34,1.5
S1652,0.23,BM3 Heme A82F,0.24,0.97
S1657,0.02,BM3 Heme A82F,0.94,0.04
S1666,0.13,BM3 Heme A82F,0.24,0.61
S1672,0.42,BM3 Heme A82F,0.32,1.59
S1679,0.1,BM3 Heme A82F,0.57,0.32
S1685,0.01,BM3 Heme A82F,0.8,0.03
S1691,0.06,BM3 Heme A82F,0.74,0.0
S1605,0.06,BM3 Heme A82F,0.51,0.0
S1609,0.04,BM3 Heme A82F,0.83,0.11
S1614,0.08,BM3 Heme A82F,0.46,0.3
S1620,0.03,BM3 Heme A82F,0.82,0.0
S1626,0.06,BM3 Heme A82F,0.62,0.0
S1630,0.06,BM3 Heme A82F,0.82,0.17
S1638,0.59,BM3 Heme A82F,0.31,2.52
S1643,0.15,BM3 Heme A82F,0.26,0.61
S1647,0.07,BM3 Heme A82F,0.85,0.17
S1653,0.08,BM3 Heme A82F,0.45,0.31
S1658,0.41,BM3 Heme A82F,0.25,1.96
S1667,0.1,BM3 Heme A82F,0.76,0.28
S1673,0.18,BM3 Heme A82F,0.16,1.06
S1680,0.02,BM3 Heme A82F,0.34,0.06
S1688,0.02,BM3 Heme A82F,0.43,0.07
