baseline,,bm3-a82f-f87v-heme-10in1000-tube-dm,,bm3-a82f-f87v-heme-10in1000-tube-60,,bm3-a82f-f87v-heme-10in1000-tube-65,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
606.993103,0.0002613198012,606.993103,0.04234879091,606.993103,0.02897706069,606.993103,0.03724613041,
605.9959717,4.605358117E-005,605.9959717,0.04305037484,605.9959717,0.03009564802,605.9959717,0.03864858299,
604.9985962,-0.0002594552061,604.9985962,0.04365625232,604.9985962,0.0307023488,604.9985962,0.03878928721,
604.0009155,0.0001980728121,604.0009155,0.04517160729,604.0009155,0.03146210685,604.0009155,0.04022098705,
603.0029297,-0.0004849357356,603.0029297,0.04619793221,603.0029297,0.03150257468,603.0029297,0.04133675247,
602.0047607,0.0004263699229,602.0047607,0.04782633856,602.0047607,0.03298003599,602.0047607,0.04343453422,
601.0062256,4.843534771E-005,601.0062256,0.04845640063,601.0062256,0.03313713148,601.0062256,0.0436036177,
600.0075073,-0.0005338545889,600.0075073,0.04853932559,600.0075073,0.03313115239,600.0075073,0.04415813833,
599.0085449,-0.0002440360986,599.0085449,0.05117913708,599.0085449,0.03417090699,599.0085449,0.04603056982,
598.0092163,9.123173368E-005,598.0092163,0.05257470533,598.0092163,0.03560460731,598.0092163,0.04782018438,
597.0097046,-0.0002094704978,597.0097046,0.05388528854,597.0097046,0.03548197821,597.0097046,0.04852641746,
596.0098877,-0.000167760445,596.0098877,0.05630948767,596.0098877,0.03661254048,596.0098877,0.05085729808,
595.0098877,-0.0009110064711,595.0098877,0.05672169477,595.0098877,0.03748596087,595.0098877,0.05171490461,
594.0095825,7.69916951E-005,594.0095825,0.05932061002,594.0095825,0.03818834946,594.0095825,0.05369124189,
593.0089722,-0.0001092768071,593.0089722,0.06090056896,593.0089722,0.03860319778,593.0089722,0.05565781519,
592.0081787,-0.0002351879812,592.0081787,0.0630666092,592.0081787,0.04017458856,592.0081787,0.05822249502,
591.0070801,-0.0001290482614,591.0070801,0.06471522897,591.0070801,0.04128411412,591.0070801,0.05995123833,
590.0056763,-0.0001868564868,590.0056763,0.06770281494,590.0056763,0.04258625582,590.0056763,0.06172511354,
589.0040894,-0.0002949998307,589.0040894,0.06892247498,589.0040894,0.04323157296,589.0040894,0.06403084844,
588.0021973,0.0004518934002,588.0021973,0.07151722163,588.0021973,0.04505894333,588.0021973,0.06662593782,
587.000061,0.0002038998646,587.000061,0.07445367426,587.000061,0.04601229355,587.000061,0.06897526979,
585.9976807,0.000219646201,585.9976807,0.07648923248,585.9976807,0.04777492955,585.9976807,0.07162674516,
584.9950562,-0.0004210123443,584.9950562,0.07891540974,584.9950562,0.04888749495,584.9950562,0.07321214676,
583.9921875,0.0002070594346,583.9921875,0.08198112994,583.9921875,0.0503054671,583.9921875,0.07617872208,
582.9889526,0.0001746618655,582.9889526,0.08465211838,582.9889526,0.05207782611,582.9889526,0.07903460413,
581.9855957,0.0001225355663,581.9855957,0.08627584577,581.9855957,0.05295741186,581.9855957,0.08114203066,
580.9818726,0.000736691989,580.9818726,0.08971382678,580.9818726,0.05501464009,580.9818726,0.08423127234,
580.0151367,-0.0001292552915,580.0151367,0.09160114825,580.0151367,0.0558950752,580.0151367,0.08615177125,
579.0109863,0.0005274101859,579.0109863,0.09429132938,579.0109863,0.05823747441,579.0109863,0.08873352408,
578.0065308,-0.0008925105794,578.0065308,0.09620577097,578.0065308,0.05878249928,578.0065308,0.09082115442,
577.0018311,5.728942779E-005,577.0018311,0.09961394221,577.0018311,0.06047280133,577.0018311,0.09345853329,
575.9968872,0.0001396772568,575.9968872,0.1020222381,575.9968872,0.06160117686,575.9968872,0.09625998139,
574.9917603,-1.299456198E-005,574.9917603,0.1042342111,574.9917603,0.06298511475,574.9917603,0.09809279442,
573.9862061,-6.419245619E-005,573.9862061,0.105835326,573.9862061,0.06470984966,573.9862061,0.09988430887,
573.0177612,-0.0001441609202,573.0177612,0.1075917408,573.0177612,0.06551836431,573.0177612,0.10180787,
572.0118408,-0.0005005531712,572.0118408,0.1089697331,572.0118408,0.06611872464,572.0118408,0.1036427021,
571.0056763,6.008548735E-005,571.0056763,0.1115370244,571.0056763,0.06787446886,571.0056763,0.1057662368,
569.9992065,-0.0002760637435,569.9992065,0.1122595519,569.9992065,0.06780486554,569.9992065,0.1069642827,
568.9925537,-6.869592471E-005,568.9925537,0.113493517,568.9925537,0.06885285676,568.9925537,0.1074004024,
567.9855957,-0.0001437468745,567.9855957,0.115318276,567.9855957,0.06966390461,567.9855957,0.1089859009,
567.0157471,0.0001969851146,567.0157471,0.1158929169,567.0157471,0.07022842765,567.0157471,0.1096692681,
566.0082397,-0.0001170923351,566.0082397,0.1160970703,566.0082397,0.07041210681,566.0082397,0.1103437319,
565.0006104,-0.0002903952263,565.0006104,0.116561383,565.0006104,0.07064425945,565.0006104,0.1106687486,
563.9926147,-0.0007921126089,563.9926147,0.1168994904,563.9926147,0.07123259455,563.9926147,0.1107689962,
562.9844971,0.0004120152444,562.9844971,0.1178447306,562.9844971,0.07177101076,562.9844971,0.1120053977,
562.0134277,-8.205077029E-005,562.0134277,0.1186989769,562.0134277,0.07241729647,562.0134277,0.1127755865,
561.0047607,-0.0006438242854,561.0047607,0.1185105667,561.0047607,0.07244396955,561.0047607,0.112577416,
559.9957886,0.0005707981181,559.9957886,0.1197724789,559.9957886,0.07361900806,559.9957886,0.1137160212,
558.9866943,-0.0004349252849,558.9866943,0.1202983409,558.9866943,0.07390803099,558.9866943,0.1139640063,
558.0146484,-1.268393953E-005,558.0146484,0.1204598248,558.0146484,0.07442611456,558.0146484,0.1145848855,
557.0050659,0.0001160622996,557.0050659,0.1218283996,557.0050659,0.0754493475,557.0050659,0.1158764884,
555.9951172,-0.0004020300403,555.9951172,0.1219926104,555.9951172,0.07545489073,555.9951172,0.1160977781,
554.9849854,0.0003366221208,554.9849854,0.1232093796,554.9849854,0.07679469138,554.9849854,0.1170238554,
554.012085,-0.0002364298416,554.012085,0.1235722825,554.012085,0.07735835761,554.012085,0.1177801862,
553.0014648,0.0001812913833,553.0014648,0.1251886934,553.0014648,0.07830243558,553.0014648,0.1193150803,
551.9905396,-0.0003043123579,551.9905396,0.1252122819,551.9905396,0.07868611068,551.9905396,0.1200510785,
