blank,,m3-wt-heme-sample41-5in1005,,
Wavelength (nm),Abs,Wavelength (nm),Abs,
745.9852905,-0.0005257879966,745.9852905,-0.002171159489,
745.7377319,-0.0001880467316,745.7377319,-0.002994855633,
745.4901733,-0.0007889602566,745.4901733,-0.001297793468,
745.2425537,0.0009916318813,745.2425537,-0.001113738166,
744.9949341,-0.001012461609,744.9949341,-0.001160314423,
744.7473145,-0.0001391924307,744.7473145,-0.00122831075,
744.4996948,0.0009384216974,744.4996948,-0.0003720808018,
744.2519531,-0.0005005531712,744.2519531,-0.0009528519004,
744.0042725,-0.0007433778956,744.0042725,-0.00506338058,
743.7565308,0.0002477476082,743.7565308,-0.00106875808,
743.5087891,0.0009391221683,743.5087891,-3.654944885E-005,
743.2610474,0.0001488180424,743.2610474,-0.003800570266,
743.0132446,-0.0003677873756,743.0132446,-0.001202239073,
742.7654419,0.0009961205069,742.7654419,-0.001351627172,
742.5175781,-0.001489406801,742.5175781,-0.003081637435,
742.234314,0.000735006528,742.234314,-0.002955571981,
741.9864502,-0.0001383125928,741.9864502,-0.002641534433,
741.7385254,-0.0007921642973,741.7385254,-0.003937831614,
741.4905396,-0.0009397820686,741.4905396,-0.003197285347,
741.2426147,9.95429582E-005,741.2426147,-0.0005848876899,
740.9946289,0.0003713376063,740.9946289,-0.001688877703,
740.7467041,0.0001964412659,740.7467041,0.0001960528025,
740.4986572,-0.0002910160692,740.4986572,-0.0005470917094,
740.2506104,0.0008354961756,740.2506104,-0.001597174676,
740.0025635,-0.001048512873,740.0025635,-0.001704348717,
739.7544556,0.0003608449479,739.7544556,-0.003105900483,
739.5063477,-5.503008288E-005,739.5063477,-0.003129236633,
739.2582397,-0.000152545108,739.2582397,-0.003939268179,
739.0100708,-0.0005953831715,739.0100708,-0.0006589190452,
738.7619019,-1.346049521E-005,738.7619019,-0.001380837988,
738.5136719,-0.0001375880092,738.5136719,-0.0009402986616,
738.2655029,0.0004697995901,738.2655029,-0.00096158206,
738.0172729,0.0003089553502,738.0172729,-0.001532795723,
737.7335815,-0.0008274586871,737.7335815,-0.002433594316,
737.4852905,-0.00088620733,737.4852905,-0.003871233203,
737.2369995,0.0002431890898,737.2369995,-0.00101912464,
736.9886475,-0.0007755237748,736.9886475,-0.00108838256,
736.7402954,-0.0003401119611,736.7402954,-0.001968920929,
736.4918823,0.0001480153005,736.4918823,-0.002422474092,
736.2434692,-0.000793817977,736.2434692,-0.001112240716,
735.9950562,-0.0001959643268,735.9950562,-0.002387669403,
735.7466431,-0.0004312531382,735.7466431,-0.003000408644,
735.49823,-0.0006969120586,735.49823,-0.001109348843,
735.2497559,0.0004647982132,735.2497559,-0.000730766973,
735.0012207,-0.0007087486447,735.0012207,-0.001880060765,
734.7527466,4.745157275E-005,734.7527466,-0.001835056813,
734.5042114,0.0002662411134,734.5042114,-0.002168532461,
734.2556152,0.0001100551963,734.2556152,-0.002312490251,
734.007019,-0.0001969475561,734.007019,-0.003513232339,
733.7584229,0.0001795822027,733.7584229,-0.002712077694,
733.5098267,0.0004568687,733.5098267,-0.00177308498,
733.2611694,0.0007478420157,733.2611694,-0.000819500885,
733.0124512,8.066817099E-005,733.0124512,-0.002735383809,
732.7637939,-0.0004258741683,732.7637939,-0.002954029245,
732.5150757,-0.0002831519523,732.5150757,-0.001200741739,
732.2662964,0.00014791172,732.2662964,-0.002662888961,
732.0175781,-0.0006232490996,732.0175781,-0.0007658079267,
731.7332153,-0.0006949478993,731.7332153,-0.001197282574,
731.484436,-0.0001131587123,731.484436,-0.001204252592,
731.2355957,0.0004046826216,731.2355957,-0.001373303239,
730.9866943,0.0001713212405,730.9866943,-0.0009482542519,
730.737854,-5.078530012E-005,730.737854,-0.002485074103,
730.4890137,0.000168472674,730.4890137,-0.002354973229,
730.2400513,0.0008551819483,730.2400513,1.558363329E-005,
729.9911499,1.527298991E-005,729.9911499,-0.001024083118,
729.7421875,-0.0001206118613,729.7421875,-0.001166871865,
729.4931641,-0.0005094475928,729.4931641,-0.00173704233,
729.2441406,-0.0007305602776,729.2441406,-0.001446632668,
728.9951172,0.0002572273661,728.9951172,-0.001309923362,
728.7460938,-0.0001083969037,728.7460938,-0.001408447162,
728.4970093,-0.0001828199893,728.4970093,-0.00127441017,
728.2479858,0.0003325030848,728.2479858,0.0001305107726,
727.9989014,0.0002948376932,727.9989014,-0.001136097475,
727.7497559,4.369771341E-005,727.7497559,-0.002555900021,
727.5006104,-2.277905514E-005,727.5006104,-0.001104804571,
727.2514038,0.0003610781278,727.2514038,-0.00124421122,
727.0021973,-4.519454887E-005,727.0021973,-0.00123006606,
726.7529907,-0.0002262361959,726.7529907,-0.002864804817,
726.5037842,0.0004074550234,726.5037842,-0.001911143307,
726.2545166,0.0006558759487,726.2545166,-0.0007046653191,
726.005249,0.0006313255872,726.005249,-0.0016183228,
725.7559204,-0.0005087236059,725.7559204,-0.001580565004,
725.5065918,0.0002915997757,725.5065918,-0.0004728861677,
725.2572632,0.0003668555291,725.2572632,-0.00231094542,
725.0078735,3.46109191E-005,725.0078735,-0.0007632755442,
724.7585449,-0.0005387668498,724.7585449,-0.003269433975,
724.5090942,-4.022493158E-005,724.5090942,-0.00168490666,
724.2596436,0.0005180541193,724.2596436,-0.002082392341,
724.0101929,0.0001285169565,724.0101929,-0.001510353759,
723.7607422,-0.0005657574511,723.7607422,-0.002768565668,
723.5112305,-0.000424167345,723.5112305,-0.002141332021,
723.2617188,0.0002735455055,723.2617188,-0.001481048414,
723.012207,0.0002368435235,723.012207,-0.0009333245107,
722.7626343,-0.0002073488722,722.7626343,-0.00164400856,
722.5130615,-1.667024299E-005,722.5130615,-0.0003663389944,
722.2634888,0.0003260525991,722.2634888,-0.001406692667,
722.0137939,-5.10441314E-005,722.0137939,-0.0004894348676,
721.7641602,-0.0004445451195,721.7641602,-0.002718714532,
721.5145264,0.0003054323606,721.5145264,-0.002997220727,
721.2648315,0.0001625943114,721.2648315,-0.002284114482,
