,SrcWell,Destination Well,Volume,Plate
542,F14,L8,1500.0,B
545,B10,L9,1500.0,A
546,F18,L10,5.0,B
547,B10,L10,1495.0,A
548,F18,L11,35.0,B
549,B10,L11,1465.0,A
550,F18,L12,117.5,B
551,B10,L12,80.0,A
552,F18,L13,280.0,B
553,B11,L13,1220.0,A
554,F18,L14,547.5,B
555,B11,L14,952.5,A
556,F18,L15,945.0,B
557,B11,L15,555.0,A
558,F18,L16,1500.0,B
561,B11,L17,1500.0,A
562,F22,L18,5.0,B
563,B11,L18,1495.0,A
564,F22,L19,35.0,B
565,B11,L19,1465.0,A
566,F22,L20,117.5,B
567,B11,L20,1382.5,A
568,F22,L21,280.0,B
569,B11,L21,1220.0,A
570,F22,L22,547.5,B
571,B11,L22,952.5,A
572,F22,L23,945.0,B
573,B11,L23,555.0,A
574,F22,L24,1500.0,B
577,B11,M1,1500.0,A
578,G2,M2,5.0,B
579,B11,M2,1495.0,A
580,G2,M3,35.0,B
581,B11,M3,1465.0,A
582,G2,M4,117.5,B
583,B11,M4,1382.5,A
584,G2,M5,280.0,B
585,B11,M5,1220.0,A
586,G2,M6,547.5,B
587,B11,M6,952.5,A
588,G2,M7,945.0,B
589,B11,M7,555.0,A
590,G2,M8,1500.0,B
593,B11,M9,1500.0,A
594,G6,M10,5.0,B
595,B11,M10,1495.0,A
596,G6,M11,35.0,B
597,B11,M11,1465.0,A
598,G6,M12,117.5,B
599,B11,M12,1382.5,A
600,G6,M13,280.0,B
601,B11,M13,1220.0,A
602,G6,M14,547.5,B
603,B11,M14,952.5,A
604,G6,M15,945.0,B
605,B11,M15,555.0,A
606,G6,M16,1500.0,B
609,B11,M17,1500.0,A
610,G10,M18,5.0,B
611,B11,M18,1495.0,A
612,G10,M19,35.0,B
613,B11,M19,1465.0,A
614,G10,M20,117.5,B
615,B11,M20,1382.5,A
616,G10,M21,280.0,B
617,B11,M21,1220.0,A
618,G10,M22,547.5,B
619,B11,M22,952.5,A
620,G10,M23,945.0,B
621,B11,M23,555.0,A
622,G10,M24,1500.0,B
625,B11,N1,1500.0,A
626,G14,N2,5.0,B
627,B11,N2,1495.0,A
628,G14,N3,35.0,B
629,B11,N3,1465.0,A
630,G14,N4,117.5,B
631,B11,N4,1382.5,A
632,G14,N5,280.0,B
633,B11,N5,847.5,A
634,G14,N6,547.5,B
635,B12,N6,952.5,A
636,G14,N7,945.0,B
637,B12,N7,555.0,A
638,G14,N8,1500.0,B
641,B12,N9,1500.0,A
642,G18,N10,5.0,B
643,B12,N10,1495.0,A
644,G18,N11,35.0,B
645,B12,N11,1465.0,A
646,G18,N12,117.5,B
647,B12,N12,1382.5,A
648,G18,N13,280.0,B
649,B12,N13,1220.0,A
650,G18,N14,547.5,B
651,B12,N14,952.5,A
652,G18,N15,945.0,B
653,B12,N15,555.0,A
654,G18,N16,1500.0,B
657,B12,N17,1500.0,A
658,G22,N18,5.0,B
659,B12,N18,1495.0,A
660,G22,N19,35.0,B
661,B12,N19,1465.0,A
662,G22,N20,117.5,B
663,B12,N20,1382.5,A
664,G22,N21,280.0,B
665,B12,N21,1220.0,A
666,G22,N22,547.5,B
667,B12,N22,952.5,A
668,G22,N23,945.0,B
669,B12,N23,555.0,A
670,G22,N24,1500.0,B
673,B12,O1,1500.0,A
674,H2,O2,5.0,B
675,B12,O2,1495.0,A
676,H2,O3,35.0,B
677,B12,O3,1465.0,A
678,H2,O4,117.5,B
679,B12,O4,1382.5,A
680,H2,O5,280.0,B
681,B12,O5,1220.0,A
682,H2,O6,547.5,B
683,B12,O6,952.5,A
684,H2,O7,945.0,B
685,B12,O7,555.0,A
686,H2,O8,1500.0,B
689,B12,O9,1500.0,A
690,H6,O10,5.0,B
691,B12,O10,1495.0,A
692,H6,O11,35.0,B
693,B12,O11,1465.0,A
694,H6,O12,117.5,B
695,B12,O12,1382.5,A
696,H6,O13,280.0,B
697,B12,O13,1220.0,A
698,H6,O14,547.5,B
699,B12,O14,952.5,A
700,H6,O15,945.0,B
701,B12,O15,555.0,A
702,H6,O16,1500.0,B
705,B12,O17,1500.0,A
706,H10,O18,5.0,B
707,B12,O18,1495.0,A
708,H10,O19,35.0,B
709,B12,O19,1465.0,A
710,H10,O20,117.5,B
711,B12,O20,1382.5,A
712,H10,O21,280.0,B
713,B12,O21,1220.0,A
714,H10,O22,547.5,B
715,B12,O22,952.5,A
716,H10,O23,945.0,B
717,B12,O23,555.0,A
718,H10,O24,1500.0,B
721,B12,P1,270.0,A
722,H14,P2,5.0,B
723,B13,P2,1495.0,A
724,H14,P3,35.0,B
725,B13,P3,1465.0,A
726,H14,P4,117.5,B
727,B13,P4,1382.5,A
728,H14,P5,280.0,B
729,B13,P5,1220.0,A
730,H14,P6,547.5,B
731,B13,P6,952.5,A
732,H14,P7,945.0,B
733,B13,P7,555.0,A
734,H14,P8,1500.0,B
737,B13,P9,1500.0,A
738,H18,P10,5.0,B
739,B13,P10,1495.0,A
740,H18,P11,35.0,B
741,B13,P11,1465.0,A
742,H18,P12,117.5,B
743,B13,P12,1382.5,A
744,H18,P13,280.0,B
745,B13,P13,1220.0,A
746,H18,P14,547.5,B
747,B13,P14,952.5,A
748,H18,P15,945.0,B
749,B13,P15,555.0,A
750,H18,P16,1500.0,B
753,B13,P17,1500.0,A
754,H22,P18,5.0,B
755,B13,P18,1495.0,A
756,H22,P19,35.0,B
757,B13,P19,1465.0,A
758,H22,P20,117.5,B
759,B13,P20,1382.5,A
760,H22,P21,280.0,B
761,B13,P21,1220.0,A
762,H22,P22,547.5,B
763,B13,P22,952.5,A
764,H22,P23,945.0,B
765,B13,P23,555.0,A
766,H22,P24,1500.0,B
