Run ID	1646208709
Run Date/Time	2022-03-02 08:11:22
Application Name	Labcyte Echo Plate Reformat
Application Version	1.6.4
Protocol Name	2022-02-28-00-echo-protocol.epr
User Name	Lab

[DETAILS]
Source Plate Name	Source Plate Barcode	Source Plate Type	Source Well	Survey Fluid Height	Survey Fluid Volume	Fluid Composition	Fluid Units	Fluid Type	Survey Status
Source[1]	UnknownBarCode	384LDV_DMSO	E23	0	0	0	Percent	DMSO	Data missing for well (5th row, 23th column), defaulting to 0.0 percent DMSO
Source[1]	UnknownBarCode	384LDV_DMSO	E24	0	0	0	Percent	DMSO	Data missing for well (5th row, 24th column), defaulting to 0.0 percent DMSO
Source[1]	UnknownBarCode	384LDV_DMSO	F1	0.931	4.367	82.349	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	F2	1.077	5.062	82.439	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	F3	1.03	4.894	84.046	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	F4	1.049	4.985	84.093	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	F5	1.028	4.909	84.834	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	F6	1.05	5.011	85.016	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	F7	1.181	5.637	85.371	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	F8	1.081	5.168	86.485	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	F9	0.88	4.211	86.317	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	F10	1.006	4.812	86.759	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	F11	0.297	1.435	88	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	F12	1.011	4.837	86.607	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	F13	1.051	5.023	86.653	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	F14	0.865	4.135	85.253	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	F15	1.041	4.978	86.217	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	F16	1.025	4.902	87.229	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	F17	1.047	5.002	86.114	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	F18	0.986	4.71	85.041	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	F19	1.176	5.6	84.404	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	F20	0	0	0	Percent	DMSO	Data missing for well (6th row, 20th column), defaulting to 0.0 percent DMSO
Source[1]	UnknownBarCode	384LDV_DMSO	F21	1.166	5.5	82.879	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	F22	1.049	4.957	83.204	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	F23	0	0	0	Percent	DMSO	Data missing for well (6th row, 23th column), defaulting to 0.0 percent DMSO
Source[1]	UnknownBarCode	384LDV_DMSO	F24	0	0	0	Percent	DMSO	Data missing for well (6th row, 24th column), defaulting to 0.0 percent DMSO
Source[1]	UnknownBarCode	384LDV_DMSO	G1	0.951	4.47	82.597	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	G2	0.973	4.566	82.379	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	G3	0	0	0	Percent	DMSO	Data missing for well (7th row, 3th column), defaulting to 0.0 percent DMSO
Source[1]	UnknownBarCode	384LDV_DMSO	G4	1.035	4.946	85.842	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	G5	0.861	4.116	85.019	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	G6	0.98	4.693	87.247	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	G7	0.92	4.406	86.9	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	G8	1.037	4.928	85.759	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	G9	0.909	4.351	87.059	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	G10	0.999	4.782	87.264	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	G11	0.897	4.295	86.757	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	G12	0.882	4.216	85.434	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	G13	1.153	5.507	85.926	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	G14	0.865	4.087	83.292	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	G15	1.049	5.013	86.328	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	G16	0.754	3.615	86.685	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	G17	0.962	4.608	87.91	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	G18	0.97	4.645	87.45	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	G19	0.954	4.563	86.392	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	G20	0.855	4.092	85.732	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	G21	0.92	4.395	84.957	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	G22	1.091	5.167	83.611	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	G23	0	0	0	Percent	DMSO	Data missing for well (7th row, 23th column), defaulting to 0.0 percent DMSO
Source[1]	UnknownBarCode	384LDV_DMSO	G24	0	0	0	Percent	DMSO	Data missing for well (7th row, 24th column), defaulting to 0.0 percent DMSO
Source[1]	UnknownBarCode	384LDV_DMSO	H1	1.133	5.282	80.979	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	H2	1.058	5.044	84.538	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	H3	0.951	4.514	83.932	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	H4	1.04	4.963	84.743	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	H5	0.976	4.66	84.833	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	H6	0.972	4.19	70.487	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	H7	1.027	4.908	86.358	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	H8	1.087	5.195	86.209	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	H9	1.057	5.055	86.535	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	H10	1.072	5.124	86.437	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	H11	0.504	2.425	86.571	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	H12	1.039	4.977	88.206	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	H13	1.041	4.981	87.472	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	H14	0.887	4.248	87.47	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	H15	1.01	4.834	87.319	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	H16	1.063	5.086	86.984	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	H17	1.032	4.935	86.533	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	H18	1.027	4.914	87.44	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	H19	0.967	4.625	86.208	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	H20	1.052	5.031	86.671	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	H21	1.056	5.011	83.816	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	H22	0.957	4.544	83.938	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	H23	0	0	0	Percent	DMSO	Data missing for well (8th row, 23th column), defaulting to 0.0 percent DMSO
Source[1]	UnknownBarCode	384LDV_DMSO	H24	0	0	0	Percent	DMSO	Data missing for well (8th row, 24th column), defaulting to 0.0 percent DMSO
Source[1]	UnknownBarCode	384LDV_DMSO	I1	0.954	4.474	82.32	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	I2	0.863	4.101	84.054	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	I3	0.909	4.305	83.617	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	I4	0.94	4.493	84.974	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	I5	0.954	4.56	86.073	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	I6	0.928	4.44	87.097	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	I7	0.585	2.811	86.175	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	I8	0.972	4.65	86.586	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	I9	1.03	4.933	88.128	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	I10	0.996	4.768	88.18	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	I11	0.906	4.336	87.037	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	I12	0.912	4.363	86.714	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	I13	0.897	4.296	87.822	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	I14	0.76	3.646	87.21	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	I15	0.932	4.465	87.976	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	I16	0.771	3.7	88.231	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	I17	0.351	1.696	86.292	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	I18	1.124	5.371	86.017	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	I19	0.951	4.545	84.97	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	I20	0.67	3.214	85.708	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	I21	1.031	4.904	84.249	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	I22	1.049	4.983	83.994	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	I23	0	0	0	Percent	DMSO	Data missing for well (9th row, 23th column), defaulting to 0.0 percent DMSO
Source[1]	UnknownBarCode	384LDV_DMSO	I24	0	0	0	Percent	DMSO	Data missing for well (9th row, 24th column), defaulting to 0.0 percent DMSO
Source[1]	UnknownBarCode	384LDV_DMSO	J1	1.227	5.778	82.55	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	J2	1.088	5.176	84.273	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	J3	1.004	4.734	82.963	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	J4	1.149	5.471	84.373	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	J5	0.8	3.825	84.605	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	J6	0.797	3.814	85.151	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	J7	0.954	4.565	87.278	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	J8	0.867	4.152	86.862	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	J9	0.573	2.753	87.434	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	J10	0.93	4.451	87.383	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	J11	0.462	2.219	84.529	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	J12	0.99	4.739	87.106	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	J13	0.965	4.62	87.573	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	J14	0.882	4.225	87.489	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	J15	0.963	4.618	88.756	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	J16	0.907	4.345	88.037	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	J17	0.962	4.607	87.479	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	J18	1.059	5.064	86.123	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	J19	1.166	5.561	84.972	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	J20	1.037	4.933	84.196	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	J21	1.022	4.882	85.092	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	J22	1.096	5.2	83.77	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	J23	0	0	0	Percent	DMSO	Data missing for well (10th row, 23th column), defaulting to 0.0 percent DMSO
Source[1]	UnknownBarCode	384LDV_DMSO	J24	0	0	0	Percent	DMSO	Data missing for well (10th row, 24th column), defaulting to 0.0 percent DMSO
Source[1]	UnknownBarCode	384LDV_DMSO	K1	0.854	3.986	81.88	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	K2	0.934	4.412	83.257	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	K3	0.889	4.218	83.881	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	K4	1.082	5.12	83.438	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	K5	0.789	3.759	84.322	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	K6	0.965	4.553	83.044	Percent	DMSO	
Source[1]	UnknownBarCode	384LDV_DMSO	K7	0.784	3.756	86.194	Percent	DMSO	
