Run ID,1614698095
Run Date/Time,2021-03-02 15:10:46
Application Name,Labcyte Echo Plate Reformat
Application Version,1.6.4
Protocol Name,Protocol 2.epr
User Name,Lab

[DETAILS]
Source Plate Name,Source Plate Barcode,Source Plate Type,Source Well,Survey Fluid Height,Survey Fluid Volume,Fluid Composition,Fluid Units,Fluid Type,Survey Status
Source[1],UnknownBarCode,384LDV_DMSO,J10,2.027,9.872,95.023,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,J11,0.837,4.176,93.648,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,J12,2.032,9.855,93.903,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,J13,0.827,4.162,94.245,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,J14,2.015,9.802,94.614,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,J15,0.78,4.162,99.701,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,J16,2.143,10.654,99.701,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,J17,0.738,3.86,96.979,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,J18,2.063,9.962,92.807,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,J19,0.776,4.032,96.675,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,J20,2.579,12.58,97.128,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,J21,2.377,11.492,93.94,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,J22,2.378,11.466,92.901,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,J23,2.386,11.721,98.161,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,J24,2.404,11.847,98.865,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,C1,0.601,3.247,98.027,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,C2,0.584,3.17,98.123,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,C3,0.636,3.422,98.205,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,C4,0.647,3.452,97.627,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,C5,0.611,3.279,97.55,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,C6,0.72,3.807,97.896,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,C7,0.744,3.974,99.268,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,C8,0.763,4.034,98.468,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,C9,0.674,3.654,99.599,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,C10,0.727,3.876,98.745,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,C11,0.75,4.02,99.701,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,C12,0.384,2.251,98.924,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,C13,0.424,2.445,99.047,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,C14,0.499,2.776,98.326,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,C15,0.491,2.773,99.352,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,C16,0.436,2.483,98.569,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,C17,0.479,2.715,99.316,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,C18,0.504,2.792,98.113,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,C19,0.485,2.741,99.241,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,C20,0.561,3.067,98.299,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,C21,0.56,3.034,97.476,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,C22,0.572,3.107,97.832,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,C23,0.611,3.3,98.185,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,C24,0.715,3.75,96.852,Percent,DMSO,
Source[1],UnknownBarCode,384LDV_DMSO,K1,0,0,0,Percent,DMSO,"Data missing on PADDED well (11th row, 1th column), defaulting to 0.0 percent DMSO"
Source[1],UnknownBarCode,384LDV_DMSO,K2,0,0,0,Percent,DMSO,"Data missing on PADDED well (11th row, 2th column), defaulting to 0.0 percent DMSO"
Source[1],UnknownBarCode,384LDV_DMSO,K3,0,0,0,Percent,DMSO,"Data missing on PADDED well (11th row, 3th column), defaulting to 0.0 percent DMSO"
Source[1],UnknownBarCode,384LDV_DMSO,K4,0,0,0,Percent,DMSO,"Data missing on PADDED well (11th row, 4th column), defaulting to 0.0 percent DMSO"
Source[1],UnknownBarCode,384LDV_DMSO,K5,0,0,0,Percent,DMSO,"Data missing on PADDED well (11th row, 5th column), defaulting to 0.0 percent DMSO"
Source[1],UnknownBarCode,384LDV_DMSO,K6,0,0,0,Percent,DMSO,"Data missing on PADDED well (11th row, 6th column), defaulting to 0.0 percent DMSO"
Source[1],UnknownBarCode,384LDV_DMSO,K7,0,0,0,Percent,DMSO,"Data missing on PADDED well (11th row, 7th column), defaulting to 0.0 percent DMSO"
Source[1],UnknownBarCode,384LDV_DMSO,K8,0,0,0,Percent,DMSO,"Data missing on PADDED well (11th row, 8th column), defaulting to 0.0 percent DMSO"
Source[1],UnknownBarCode,384LDV_DMSO,K9,0,0,0,Percent,DMSO,"Data missing on PADDED well (11th row, 9th column), defaulting to 0.0 percent DMSO"
Source[1],UnknownBarCode,384LDV_DMSO,K10,0,0,0,Percent,DMSO,"Data missing on PADDED well (11th row, 10th column), defaulting to 0.0 percent DMSO"
Source[1],UnknownBarCode,384LDV_DMSO,K11,0,0,0,Percent,DMSO,"Data missing on PADDED well (11th row, 11th column), defaulting to 0.0 percent DMSO"
Source[1],UnknownBarCode,384LDV_DMSO,K12,0,0,0,Percent,DMSO,"Data missing on PADDED well (11th row, 12th column), defaulting to 0.0 percent DMSO"
Source[1],UnknownBarCode,384LDV_DMSO,K13,0,0,0,Percent,DMSO,"Data missing on PADDED well (11th row, 13th column), defaulting to 0.0 percent DMSO"
Source[1],UnknownBarCode,384LDV_DMSO,K14,0,0,0,Percent,DMSO,"Data missing on PADDED well (11th row, 14th column), defaulting to 0.0 percent DMSO"
Source[1],UnknownBarCode,384LDV_DMSO,K15,0,0,0,Percent,DMSO,"Data missing on PADDED well (11th row, 15th column), defaulting to 0.0 percent DMSO"
Source[1],UnknownBarCode,384LDV_DMSO,K16,0,0,0,Percent,DMSO,"Data missing on PADDED well (11th row, 16th column), defaulting to 0.0 percent DMSO"
Source[1],UnknownBarCode,384LDV_DMSO,K17,0,0,0,Percent,DMSO,"Data missing on PADDED well (11th row, 17th column), defaulting to 0.0 percent DMSO"
Source[1],UnknownBarCode,384LDV_DMSO,K18,0,0,0,Percent,DMSO,"Data missing on PADDED well (11th row, 18th column), defaulting to 0.0 percent DMSO"
Source[1],UnknownBarCode,384LDV_DMSO,K19,0,0,0,Percent,DMSO,"Data missing on PADDED well (11th row, 19th column), defaulting to 0.0 percent DMSO"
Source[1],UnknownBarCode,384LDV_DMSO,K20,0,0,0,Percent,DMSO,"Data missing on PADDED well (11th row, 20th column), defaulting to 0.0 percent DMSO"
Source[1],UnknownBarCode,384LDV_DMSO,K21,0,0,0,Percent,DMSO,"Data missing on PADDED well (11th row, 21th column), defaulting to 0.0 percent DMSO"
Source[1],UnknownBarCode,384LDV_DMSO,K22,0,0,0,Percent,DMSO,"Data missing on PADDED well (11th row, 22th column), defaulting to 0.0 percent DMSO"
Source[1],UnknownBarCode,384LDV_DMSO,K23,0,0,0,Percent,DMSO,"Data missing on PADDED well (11th row, 23th column), defaulting to 0.0 percent DMSO"
Source[1],UnknownBarCode,384LDV_DMSO,K24,0,0,0,Percent,DMSO,"Data missing on PADDED well (11th row, 24th column), defaulting to 0.0 percent DMSO"

Instrument Name,E5XX-1564
Instrument Model,Echo 550
Instrument Serial Number,E5XX-1564
Instrument Software Version,2.5.15

