blank,,bm3-a82f-heme-20in1000-tube-53,,bm3-a82f-heme-20in1000-tube-54,,bm3-a82f-heme-20in1000-tube-55,,bm3-a82f-heme-20in1000-tube-57,,bm3-a82f-heme-20in1000-post-lipidex,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
730.993103,-2.169189975E-005,730.993103,0.05182137713,730.993103,0.0306006223,730.993103,0.01180791762,730.993103,0.009437075816,730.993103,0.003564512124,
729.9976807,-0.0002526253229,729.9976807,0.04844288528,729.9976807,0.03111196868,729.9976807,0.01153296605,729.9976807,0.009003674611,729.9976807,0.003502243664,
729.0018921,-0.0004131505557,729.0018921,0.05144573003,729.0018921,0.0305484347,729.0018921,0.01101786178,729.0018921,0.009666445665,729.0018921,0.003003400518,
728.0057373,-0.0007173286867,728.0057373,0.05124732107,728.0057373,0.02780476771,728.0057373,0.01330199372,728.0057373,0.01003681961,728.0057373,0.003144307993,
727.0092773,2.60161778E-005,727.0092773,0.04866262898,727.0092773,0.02857058123,727.0092773,0.01274120249,727.0092773,0.009208647534,727.0092773,0.003803516971,
726.0124512,2.531721475E-005,726.0124512,0.052321814,726.0124512,0.02859394439,726.0124512,0.01400595531,726.0124512,0.01200737897,726.0124512,0.00410549622,
725.0152588,0.0001979692315,725.0152588,0.05255109817,725.0152588,0.03232610971,725.0152588,0.01213390939,725.0152588,0.01001816988,725.0152588,0.00418761,
724.0177612,0.0004918011255,724.0177612,0.05069051683,724.0177612,0.03025958687,724.0177612,0.0131831551,724.0177612,0.01051254384,724.0177612,0.003941027448,
722.9842529,-0.000620819279,722.9842529,0.05113787204,722.9842529,0.02951594815,722.9842529,0.01258409023,722.9842529,0.01019921433,722.9842529,0.003301380435,
721.9860229,-0.0007776426501,721.9860229,0.05010842159,721.9860229,0.02821533568,721.9860229,0.01482940558,721.9860229,0.01210321765,721.9860229,0.003685917007,
720.9874878,-0.0005314243026,720.9874878,0.05056739226,720.9874878,0.02972734347,720.9874878,0.01190357935,720.9874878,0.008905241266,720.9874878,0.002277168678,
