,SrcPlate,Cpd,SrcWell,Destination Plate Name,DestWell,Transfer Volume /nl
232,src racks 0..4,['S1271'],M19,dest racks 0..4 0,N2,605.0
233,src racks 0..4,['S1271'],M19,dest racks 0..4 0,N3,2000.0
234,src racks 0..4,['S1300'],M2,dest racks 0..4 0,P17,20.0
235,src racks 0..4,['S1300'],M2,dest racks 0..4 0,P18,605.0
236,src racks 0..4,['S1300'],M2,dest racks 0..4 0,P19,2000.0
237,src racks 0..4,['S1286'],M21,dest racks 0..4 0,O9,20.0
238,src racks 0..4,['S1286'],M21,dest racks 0..4 0,O10,605.0
239,src racks 0..4,['S1286'],M21,dest racks 0..4 0,O11,2000.0
240,src racks 0..4,['S1042'],M3,dest racks 0..4 0,C9,20.0
241,src racks 0..4,['S1042'],M3,dest racks 0..4 0,C10,605.0
242,src racks 0..4,['S1042'],M3,dest racks 0..4 0,C11,2000.0
243,src racks 0..4,['S1120'],M5,dest racks 0..4 0,D17,20.0
244,src racks 0..4,['S1120'],M5,dest racks 0..4 0,D18,605.0
245,src racks 0..4,['S1120'],M5,dest racks 0..4 0,D19,2000.0
246,src racks 0..4,['S1178'],M7,dest racks 0..4 0,F1,20.0
247,src racks 0..4,['S1178'],M7,dest racks 0..4 0,F2,605.0
248,src racks 0..4,['S1178'],M7,dest racks 0..4 0,F3,2000.0
249,src racks 0..4,['S1197'],M9,dest racks 0..4 0,G9,20.0
250,src racks 0..4,['S1197'],M9,dest racks 0..4 0,G10,605.0
251,src racks 0..4,['S1197'],M9,dest racks 0..4 0,G11,2000.0
252,src racks 0..4,['S1026'],O1,dest racks 0..4 0,B5,20.0
253,src racks 0..4,['S1026'],O1,dest racks 0..4 0,B6,605.0
254,src racks 0..4,['S1026'],O1,dest racks 0..4 0,B7,2000.0
255,src racks 0..4,['S1210'],O11,dest racks 0..4 0,H21,20.0
256,src racks 0..4,['S1210'],O11,dest racks 0..4 0,H22,605.0
257,src racks 0..4,['S1210'],O11,dest racks 0..4 0,H23,2000.0
258,src racks 0..4,['S1224'],O13,dest racks 0..4 0,J5,20.0
259,src racks 0..4,['S1224'],O13,dest racks 0..4 0,J6,605.0
260,src racks 0..4,['S1224'],O13,dest racks 0..4 0,J7,2000.0
261,src racks 0..4,['S1237'],O15,dest racks 0..4 0,K13,20.0
262,src racks 0..4,['S1237'],O15,dest racks 0..4 0,K14,605.0
263,src racks 0..4,['S1237'],O15,dest racks 0..4 0,K15,2000.0
264,src racks 0..4,['S1256'],O17,dest racks 0..4 0,L21,20.0
265,src racks 0..4,['S1256'],O17,dest racks 0..4 0,L22,605.0
266,src racks 0..4,['S1256'],O17,dest racks 0..4 0,L23,2000.0
267,src racks 0..4,['S1276'],O19,dest racks 0..4 0,N5,20.0
268,src racks 0..4,['S1276'],O19,dest racks 0..4 0,N6,605.0
269,src racks 0..4,['S1276'],O19,dest racks 0..4 0,N7,2000.0
270,src racks 0..4,['S1302'],O2,dest racks 0..4 0,P21,20.0
271,src racks 0..4,['S1302'],O2,dest racks 0..4 0,P22,605.0
272,src racks 0..4,['S1302'],O2,dest racks 0..4 0,P23,2000.0
273,src racks 0..4,['S1287'],O21,dest racks 0..4 0,O13,20.0
274,src racks 0..4,['S1287'],O21,dest racks 0..4 0,O14,605.0
275,src racks 0..4,['S1287'],O21,dest racks 0..4 0,O15,2000.0
276,src racks 0..4,['S1044'],O3,dest racks 0..4 0,C13,20.0
277,src racks 0..4,['S1044'],O3,dest racks 0..4 0,C14,605.0
278,src racks 0..4,['S1044'],O3,dest racks 0..4 0,C15,2000.0
279,src racks 0..4,['S1137'],O5,dest racks 0..4 0,D21,20.0
280,src racks 0..4,['S1137'],O5,dest racks 0..4 0,D22,605.0
281,src racks 0..4,['S1137'],O5,dest racks 0..4 0,D23,2000.0
282,src racks 0..4,['S1185'],O7,dest racks 0..4 0,F5,20.0
283,src racks 0..4,['S1185'],O7,dest racks 0..4 0,F6,605.0
284,src racks 0..4,['S1185'],O7,dest racks 0..4 0,F7,2000.0
285,src racks 0..4,['S1198'],O9,dest racks 0..4 0,G13,20.0
286,src racks 0..4,['S1198'],O9,dest racks 0..4 0,G14,605.0
287,src racks 0..4,['S1198'],O9,dest racks 0..4 0,G15,2000.0
288,src racks 0..4,['S1374'],A10,dest racks 0..4 1,E1,20.0
289,src racks 0..4,['S1374'],A10,dest racks 0..4 1,E2,605.0
290,src racks 0..4,['S1374'],A10,dest racks 0..4 1,E3,2000.0
291,src racks 0..4,['S1385'],A12,dest racks 0..4 1,F9,20.0
292,src racks 0..4,['S1385'],A12,dest racks 0..4 1,F10,605.0
293,src racks 0..4,['S1385'],A12,dest racks 0..4 1,F11,2000.0
294,src racks 0..4,['S1398'],A14,dest racks 0..4 1,G17,20.0
295,src racks 0..4,['S1398'],A14,dest racks 0..4 1,G18,605.0
296,src racks 0..4,['S1398'],A14,dest racks 0..4 1,G19,2000.0
297,src racks 0..4,['S1409'],A16,dest racks 0..4 1,I1,20.0
298,src racks 0..4,['S1409'],A16,dest racks 0..4 1,I2,605.0
299,src racks 0..4,['S1409'],A16,dest racks 0..4 1,I3,2000.0
300,src racks 0..4,['S1437'],A18,dest racks 0..4 1,J9,20.0
301,src racks 0..4,['S1437'],A18,dest racks 0..4 1,J10,605.0
302,src racks 0..4,['S1437'],A18,dest racks 0..4 1,J11,2000.0
303,src racks 0..4,['S1457'],A20,dest racks 0..4 1,K17,20.0
304,src racks 0..4,['S1457'],A20,dest racks 0..4 1,K18,605.0
305,src racks 0..4,['S1457'],A20,dest racks 0..4 1,K19,2000.0
306,src racks 0..4,['S1490'],A22,dest racks 0..4 1,M1,20.0
307,src racks 0..4,['S1490'],A22,dest racks 0..4 1,M2,605.0
308,src racks 0..4,['S1490'],A22,dest racks 0..4 1,M3,2000.0
309,src racks 0..4,['S1304'],A4,dest racks 0..4 1,A1,20.0
310,src racks 0..4,['S1304'],A4,dest racks 0..4 1,A2,605.0
311,src racks 0..4,['S1304'],A4,dest racks 0..4 1,A3,2000.0
312,src racks 0..4,['S1330'],A6,dest racks 0..4 1,B9,20.0
313,src racks 0..4,['S1330'],A6,dest racks 0..4 1,B10,605.0
314,src racks 0..4,['S1330'],A6,dest racks 0..4 1,B11,2000.0
315,src racks 0..4,['S1351'],A8,dest racks 0..4 1,C17,20.0
316,src racks 0..4,['S1351'],A8,dest racks 0..4 1,C18,605.0
317,src racks 0..4,['S1351'],A8,dest racks 0..4 1,C19,2000.0
318,src racks 0..4,['S1508'],B1,dest racks 0..4 1,N9,20.0
319,src racks 0..4,['S1508'],B1,dest racks 0..4 1,N10,605.0
320,src racks 0..4,['S1508'],B1,dest racks 0..4 1,N11,2000.0
321,src racks 0..4,['S1550'],B3,dest racks 0..4 1,O17,20.0
322,src racks 0..4,['S1550'],B3,dest racks 0..4 1,O18,605.0
323,src racks 0..4,['S1550'],B3,dest racks 0..4 1,O19,2000.0
324,src racks 0..4,['S1376'],C10,dest racks 0..4 1,E5,20.0
325,src racks 0..4,['S1376'],C10,dest racks 0..4 1,E6,605.0
326,src racks 0..4,['S1376'],C10,dest racks 0..4 1,E7,2000.0
327,src racks 0..4,['S1386'],C12,dest racks 0..4 1,F13,20.0
328,src racks 0..4,['S1386'],C12,dest racks 0..4 1,F14,605.0
329,src racks 0..4,['S1386'],C12,dest racks 0..4 1,F15,2000.0
330,src racks 0..4,['S1400'],C14,dest racks 0..4 1,G21,20.0
331,src racks 0..4,['S1400'],C14,dest racks 0..4 1,G22,605.0
332,src racks 0..4,['S1400'],C14,dest racks 0..4 1,G23,2000.0
333,src racks 0..4,['S1415'],C16,dest racks 0..4 1,I5,20.0
334,src racks 0..4,['S1415'],C16,dest racks 0..4 1,I6,605.0
335,src racks 0..4,['S1415'],C16,dest racks 0..4 1,I7,2000.0
336,src racks 0..4,['S1438'],C18,dest racks 0..4 1,J13,20.0
337,src racks 0..4,['S1438'],C18,dest racks 0..4 1,J14,605.0
338,src racks 0..4,['S1438'],C18,dest racks 0..4 1,J15,2000.0
339,src racks 0..4,['S1464'],C20,dest racks 0..4 1,K21,20.0
340,src racks 0..4,['S1464'],C20,dest racks 0..4 1,K22,605.0
341,src racks 0..4,['S1464'],C20,dest racks 0..4 1,K23,2000.0
342,src racks 0..4,['S1491'],C22,dest racks 0..4 1,M5,20.0
343,src racks 0..4,['S1491'],C22,dest racks 0..4 1,M6,605.0
344,src racks 0..4,['S1491'],C22,dest racks 0..4 1,M7,2000.0
345,src racks 0..4,['S1305'],C4,dest racks 0..4 1,A5,20.0
346,src racks 0..4,['S1305'],C4,dest racks 0..4 1,A6,605.0
347,src racks 0..4,['S1305'],C4,dest racks 0..4 1,A7,2000.0
348,src racks 0..4,['S1331'],C6,dest racks 0..4 1,B13,20.0
349,src racks 0..4,['S1331'],C6,dest racks 0..4 1,B14,605.0
350,src racks 0..4,['S1331'],C6,dest racks 0..4 1,B15,2000.0
351,src racks 0..4,['S1353'],C8,dest racks 0..4 1,C21,20.0
352,src racks 0..4,['S1353'],C8,dest racks 0..4 1,C22,605.0
353,src racks 0..4,['S1353'],C8,dest racks 0..4 1,C23,2000.0
354,src racks 0..4,['S1512'],D1,dest racks 0..4 1,N13,20.0
355,src racks 0..4,['S1512'],D1,dest racks 0..4 1,N14,605.0
356,src racks 0..4,['S1512'],D1,dest racks 0..4 1,N15,2000.0
357,src racks 0..4,['S1567'],D3,dest racks 0..4 1,O21,20.0
358,src racks 0..4,['S1567'],D3,dest racks 0..4 1,O22,605.0
359,src racks 0..4,['S1567'],D3,dest racks 0..4 1,O23,2000.0
360,src racks 0..4,['S1377'],E10,dest racks 0..4 1,E9,20.0
361,src racks 0..4,['S1377'],E10,dest racks 0..4 1,E10,605.0
362,src racks 0..4,['S1377'],E10,dest racks 0..4 1,E11,2000.0
363,src racks 0..4,['S1389'],E12,dest racks 0..4 1,F17,20.0
364,src racks 0..4,['S1389'],E12,dest racks 0..4 1,F18,605.0
365,src racks 0..4,['S1389'],E12,dest racks 0..4 1,F19,2000.0
366,src racks 0..4,['S1401'],E14,dest racks 0..4 1,H1,20.0
367,src racks 0..4,['S1401'],E14,dest racks 0..4 1,H2,605.0
368,src racks 0..4,['S1401'],E14,dest racks 0..4 1,H3,2000.0
369,src racks 0..4,['S1425'],E16,dest racks 0..4 1,I9,20.0
