SrcPlate,Cpd,SrcWell,Destination Plate Name,DestWell,Transfer Volume /nl
2022-03-07-00.2,['S1014'],G2,ctrl,A18,667.5
2022-03-07-00.2,['S1014'],G2,ctrl,A19,1500.0
2022-03-07-00.2,['S1260'],G20,ctrl,P17,167.5
2022-03-07-00.2,['S1260'],G20,ctrl,P18,667.5
2022-03-07-00.2,['S1260'],G20,ctrl,P19,1500.0
2022-03-07-00.2,['S1035'],G3,ctrl,C9,167.5
2022-03-07-00.2,['S1035'],G3,ctrl,C10,667.5
2022-03-07-00.2,['S1035'],G3,ctrl,C11,1500.0
2022-03-07-00.2,['S1035'],G4,ctrl,C9,167.5
2022-03-07-00.2,['S1035'],G4,ctrl,C10,667.5
2022-03-07-00.2,['S1035'],G4,ctrl,C11,1500.0
2022-03-07-00.2,['S1068'],G5,ctrl,E1,167.5
2022-03-07-00.2,['S1068'],G5,ctrl,E2,667.5
2022-03-07-00.2,['S1068'],G5,ctrl,E3,1500.0
2022-03-07-00.2,['S1068'],G6,ctrl,E1,167.5
2022-03-07-00.2,['S1068'],G6,ctrl,E2,667.5
2022-03-07-00.2,['S1068'],G6,ctrl,E3,1500.0
2022-03-07-00.2,['S1156'],G7,ctrl,F17,167.5
2022-03-07-00.2,['S1156'],G7,ctrl,F18,667.5
2022-03-07-00.2,['S1156'],G7,ctrl,F19,1500.0
2022-03-07-00.2,['S1156'],G8,ctrl,F17,167.5
2022-03-07-00.2,['S1156'],G8,ctrl,F18,667.5
2022-03-07-00.2,['S1156'],G8,ctrl,F19,1500.0
2022-03-07-00.2,['S1191'],G9,ctrl,H9,167.5
2022-03-07-00.2,['S1191'],G9,ctrl,H10,667.5
2022-03-07-00.2,['S1191'],G9,ctrl,H11,1500.0
2022-03-07-00.2,['S1021'],I1,ctrl,A22,167.5
2022-03-07-00.2,['S1021'],I1,ctrl,A23,667.5
2022-03-07-00.2,['S1021'],I1,ctrl,A24,1500.0
2022-03-07-00.2,['S1193'],I10,ctrl,H14,167.5
2022-03-07-00.2,['S1193'],I10,ctrl,H15,667.5
2022-03-07-00.2,['S1193'],I10,ctrl,H16,1500.0
2022-03-07-00.2,['S1206'],I11,ctrl,J6,167.5
2022-03-07-00.2,['S1206'],I11,ctrl,J7,667.5
2022-03-07-00.2,['S1206'],I11,ctrl,J8,1500.0
